State,Party Affiliation,Violent Crime Rate,Property Crime Rate,Total Crime Rate,,,,
Ohio /1978,D,412.7,4246.2,4658.9,,,,
Alabama /1978,D,419.1,3519.7,3938.8,,,,
Rhode Island /1978,D,348.1,4914.1,5262.2,,,,
Virginia /1978,D,286.4,3786.6,4073,,,,
Illinois /1978,D,676.7,4943.1,5619.8,,,,
Pennsylvania /1978,S,301.1,2883.6,3184.7,,,,
California /1978,D,742.9,6373.3,7116.2,,,,
Florida /1978,D,765.6,6303.9,7069.5,,,,
Wyoming /1978,R,280.4,4214.2,4494.6,,,,
Montana /1978,D,237.6,3678.2,3915.8,,,,
Ohio /1980,S,498.3,4933.1,5431.4,,,,
Alabama /1980,D,448.5,4485.1,4933.6,,,,
Rhode Island /1980,D,408.5,5524.1,5932.6,,,,
Virginia /1980,D,307.2,4312.8,4620,,,,
Illinois /1980,S,808,5461.1,6269.1,,,,
Pennsylvania /1980,R,363.9,3372.4,3736.3,,,,
California /1980,D,893.6,6939.5,7833.1,,,,
Florida /1980,D,983.5,7418.4,8401.9,,,,
Wyoming /1980,R,392.6,4593.8,4986.4,,,,
Montana /1980,R,222.6,4801.9,5024.5,,,,
Ohio /1982,D,436.7,4498.8,4935.5,,,,
Alabama /1982,D,447.7,4185.8,4633.5,,,,
Rhode Island /1982,D,401.8,4962.3,5364.1,,,,1
Virginia /1982,D,309.1,3946.7,4255.8,,,,
Illinois /1982,D,774.3,5066,5840.3,,,,
Pennsylvania /1982,S,360.4,3092.3,3452.7,,,,
California /1982,D,814.7,6470.7,7285.4,,,,
Florida /1982,D,896.8,6568.4,7465.2,,,,
Wyoming /1982,R,304.2,4499.8,4804,,,,
Montana /1982,S,224.8,4108.4,4333.2,,,,
Ohio /1984,S,385.3,3887.8,4273.1,,,,
Alabama /1984,D,431.2,3470.9,3902.1,,,,
Rhode Island /1984,D,334.7,4439.3,4774,,,,
Virginia /1984,D,295.6,3488,3783.6,,,,
Illinois /1984,D,724.9,4579.3,5304.2,,,,
Pennsylvania /1984,S,320.6,2738.9,3059.5,,,,
California /1984,D,763.4,5705,6468.4,,,,
Florida /1984,D,868,5953.3,6821.3,,,,
Wyoming /1984,R,242.1,3440.7,3682.8,,,,
Montana /1984,S,237.6,4415,4652.6,,,,
Ohio /1986,S,420.9,3937.8,4358.7,,,,
Alabama /1986,D,558,3730.3,4288.3,,,,
Rhode Island /1986,D,335.5,4567,4902.5,,,,
Virginia /1986,D,306,3553.8,3859.8,,,,
Illinois /1986,D,808.9,4746,5554.9,,,,
Pennsylvania /1986,S,358.6,2743.3,3101.9,,,,
California /1986,D,920.5,5842.3,6762.8,,,,
Florida /1986,D,1036.5,7191.9,8228.4,,,,
Wyoming /1986,R,293.1,4064.1,4357.2,,,,
Montana /1986,S,157.4,4321.5,4478.9,,,,
Ohio /1988,S,452,4193.2,4645.2,,,,
Alabama /1988,D,558.6,4003.1,4561.7,,,,
Rhode Island /1988,D,396.7,4807.7,5204.4,,,,
Virginia /1988,D,299.2,3877.5,4176.7,,,,
Illinois /1988,D,810.4,4810.4,5620.8,,,,
Pennsylvania /1988,S,362,2814.4,3176.4,,,,
California /1988,D,929.8,5705.7,6635.5,,,,
Florida /1988,D,1117.7,7819.9,8937.6,,,,
Wyoming /1988,R,314,3653.1,3967.1,,,,
Montana /1988,S,123,4144,4267,,,,
Ohio /1990,S,506.2,4337.3,4843.5,,,,
Alabama /1990,D,708.6,4206.7,4915.3,,,,
Rhode Island /1990,D,431.9,4920.8,5352.7,,,,
Virginia /1990,D,350.6,4090,4440.6,,,,
Illinois /1990,D,967.4,4967.7,5935.1,,,,
Pennsylvania /1990,S,431,3045.1,3476.1,,,,
California /1990,D,1045.2,5558.4,6603.6,,,,
Florida /1990,D,1244.3,7566.5,8810.8,,,,
Wyoming /1990,R,301.4,3909.3,4210.7,,,,
Montana /1990,S,159.3,4342.8,4502.1,,,,
Ohio /1992,S,525.9,4139.6,4665.5,,,,
Alabama /1992,D,871.7,4396.4,5268.1,,,,
Rhode Island /1992,D,394.5,4183.5,4578,,,,
Virginia /1992,D,374.9,3923.6,4298.5,,,,
Illinois /1992,S,977.3,4788.1,5765.4,,,,
Pennsylvania /1992,S,427,2965.7,3392.7,,,,
California /1992,D,1119.7,5559.8,6679.5,,,,
Florida /1992,S,1207.2,7151,8358.2,,,,
Wyoming /1992,R,319.5,4255.6,4575.1,,,,
Montana /1992,S,169.9,4426.2,4596.1,,,,
Ohio /1994,R,485.8,3975.7,4461.5,,,,
Alabama /1994,D,683.7,4219.4,4903.1,,,,
Rhode Island /1994,D,375.5,3743.5,4119,,,,
Virginia /1994,D,357.7,3689.9,4047.6,,,,
Illinois /1994,S,960.9,4664.9,5625.8,,,,
Pennsylvania /1994,R,426.7,2845.2,3271.9,,,,
California /1994,D,1013,5160.8,6173.8,,,,
Florida /1994,S,1146.8,7103.2,8250,,,,
Wyoming /1994,R,272.5,4017.2,4289.7,,,,
Montana /1994,R,177.1,4841.7,5018.8,,,,
Ohio /1996,R,428.7,4027,4455.7,,,,
Alabama /1996,D,565.4,4254.7,4820.1,,,,
Rhode Island /1996,D,347.2,3646.4,3993.6,,,,
Virginia /1996,S,341.3,3627,3968.3,,,,
Illinois /1996,S,890.4,4429.6,5320,,,,
Pennsylvania /1996,R,480.3,3076.1,3556.4,,,,
California /1996,D,862.7,4345.1,5207.8,,,,
Florida /1996,R,1051,6446.3,7497.3,,,,
Wyoming /1996,R,249.7,4004.4,4254.1,,,,
Montana /1996,R,161,4332.7,4493.7,,,,
Ohio /1998,R,362.5,3965,4327.5,,,,
Alabama /1998,D,512.1,4085,4597.1,,,,
Rhode Island /1998,D,312.1,3205.7,3517.8,,,,
Virginia /1998,S,325.7,3334.7,3660.4,,,,
Illinois /1998,S,807.7,4050.8,4858.5,,,,
Pennsylvania /1998,R,420.5,2852.4,3272.9,,,,
California /1998,D,703.7,3639.1,4342.8,,,,
Florida /1998,R,938.7,5947.4,6886.1,,,,
Wyoming /1998,R,247.6,3560.1,3807.7,,,,
Montana /1998,R,204.2,4155,4359.2,,,,
Ohio /2000,R,334.1,3707.7,4041.8,,,,
Alabama /2000,D,486.2,4059.7,4545.9,,,,
Rhode Island /2000,D,297.7,3178.7,3476.4,,,,
Virginia /2000,R,281.7,2746.4,3028.1,,,,
Illinois /2000,S,653.8,3585.4,4239.2,,,,
Pennsylvania /2000,R,420,2575.3,2995.3,,,,
California /2000,D,621.6,3118.2,3739.8,,,,
Florida /2000,R,812,4882.7,5694.7,,,,
Wyoming /2000,R,266.5,3031.5,3298,,,,
Montana /2000,R,311.1,3568.9,3880,,,,
Ohio /2002,R,351.7,3760.1,4111.8,,,,
Alabama /2002,D,445,4027.8,4472.8,,,,
Rhode Island /2002,D,285.6,3308.2,3593.8,,,,
Virginia /2002,R,291.7,2851.1,3142.8,,,,
Illinois /2002,D,601.9,3420.2,4022.1,,,,
Pennsylvania /2002,R,402.1,2440.4,2842.5,,,,
California /2002,D,595.4,3361.2,3956.6,,,,
Florida /2002,R,771.2,4656.4,5427.6,,,,
Wyoming /2002,R,273.4,3306.5,3579.9,,,,
Montana /2002,R,351.2,3158.2,3509.4,,,,
Ohio /2004,R,338.7,3662.3,4001,,,,
Alabama /2004,D,427,4029.3,4456.3,,,,
Rhode Island /2004,D,247.5,2886,3133.5,,,,
Virginia /2004,R,275.5,2678.2,2953.7,,,,
Illinois /2004,D,545.7,3174.1,3719.8,,,,
Pennsylvania /2004,R,411.5,2417.3,2828.8,,,,
California /2004,D,527.8,3423.9,3951.7,,,,
Florida /2004,R,711.8,4182.5,4894.3,,,,
Wyoming /2004,R,229.9,3338.5,3568.4,,,,
Montana /2004,S,293.8,2936.1,3229.9,,,,
Ohio /2006,R,361.5,3688.2,4049.7,,,,
Alabama /2006,D,425.2,3941,4366.2,,,,
Rhode Island /2006,D,230.4,2614.6,2845,,,,
Virginia /2006,R,283.7,2489.3,2773,,,,
Illinois /2006,D,541.6,3019.6,3561.2,,,,
Pennsylvania /2006,R,442.3,2448.3,2890.6,,,,
California /2006,D,533.5,3181.7,3715.2,,,,
Florida /2006,R,716.4,3986.2,4702.6,,,,
Wyoming /2006,R,253.8,2986.6,3240.4,,,,
Montana /2006,S,377.3,2856.8,3234.1,,,,
Ohio /2008,S,352,3410,3762,,,,
Alabama /2008,D,452.8,4084.5,4537.3,,,,
